trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,True,"{'a': 0, 'e': 0}",20,0,24.793436702545538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0, 'e': 0}",20,0,-29.19146229459813,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,True,"{'a': 0, 'e': 0}",25,16,19.012266538492305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,10,26.559654913325303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,0,28.807217167704138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",25,13,-20.61375246918876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,True,"{'a': 0, 'e': 0}",20,8,22.829744398828552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,0,33.120337418942896,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",20,16,9.50362518064298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,0,5.4061379519392405,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",20,13,10.561981683332002,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,0,25.194120915291332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0, 'e': 0}",25,10,15.421451884493164,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,0,-13.329397146384643,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,True,"{'a': 0, 'e': 0}",20,0,-11.861082591044015,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
40,True,"{'a': 0, 'e': 0}",20,0,26.887080962016018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0, 'e': 0}",20,0,-9.857423574194609,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",20,9,-1.6921132264804464,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",20,11,12.800554605296082,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,17,-37.3151573228368,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,True,"{'a': 0, 'e': 0}",20,0,14.724861315643968,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,True,"{'a': 0, 'e': 0}",25,0,40.37927198978534,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",20,0,-58.052709538335854,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
48,True,"{'a': 0, 'e': 0}",20,0,27.178841995185575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,True,"{'a': 0, 'e': 0}",20,0,15.766748674441356,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",20,0,26.54231696372674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
